iter	Passed	Remaining
0	11	2318
1	19	1969
2	34	2279
3	48	2357
4	59	2315
5	71	2325
6	91	2511
7	105	2532
8	124	2633
9	137	2611
10	156	2680
11	173	2713
12	187	2692
13	194	2585
14	202	2496
15	209	2407
16	219	2363
17	226	2295
18	234	2233
19	243	2189
20	249	2130
21	256	2078
22	263	2030
23	271	1989
24	279	1958
25	287	1921
26	296	1900
27	304	1868
28	314	1854
29	321	1824
30	329	1794
31	335	1762
32	342	1733
33	348	1700
34	355	1673
35	362	1650
36	374	1650
37	382	1629
38	390	1612
39	396	1586
40	403	1565
41	410	1543
42	417	1525
43	424	1506
44	433	1494
45	440	1473
46	446	1454
47	453	1436
48	460	1418
49	467	1401
50	474	1384
51	481	1369
52	487	1352
53	493	1335
54	500	1318
55	506	1301
56	512	1286
57	519	1272
58	526	1257
59	534	1247
60	541	1234
61	550	1224
62	556	1211
63	562	1195
64	570	1184
65	578	1173
66	586	1164
67	593	1151
68	601	1141
69	607	1127
70	614	1116
71	620	1102
72	627	1091
73	634	1080
74	641	1068
75	649	1059
76	655	1047
77	662	1036
78	669	1025
79	676	1015
80	683	1003
81	691	994
82	701	988
83	711	982
84	718	972
85	725	962
86	731	949
87	738	939
88	745	929
89	751	919
90	758	908
91	767	901
92	774	890
93	781	880
94	788	871
95	795	861
96	802	851
97	808	841
98	814	831
99	823	823
100	830	813
101	836	803
102	842	793
103	849	783
104	856	774
105	862	765
106	869	756
107	876	746
108	882	736
109	888	726
110	894	717
111	901	708
112	907	698
113	914	690
114	920	680
115	928	672
116	934	663
117	941	654
118	948	645
119	954	636
120	960	627
121	967	618
122	973	609
123	980	600
124	987	592
125	994	583
126	1001	575
127	1008	567
128	1015	558
129	1021	550
130	1028	541
131	1034	532
132	1041	524
133	1060	522
134	1067	513
135	1073	505
136	1080	496
137	1086	488
138	1094	480
139	1100	471
140	1107	463
141	1113	454
142	1119	446
143	1128	438
144	1134	430
145	1147	424
146	1154	416
147	1161	408
148	1167	399
149	1174	391
150	1180	383
151	1187	374
152	1193	366
153	1198	358
154	1205	350
155	1212	341
156	1219	334
157	1225	325
158	1232	317
159	1238	309
160	1244	301
161	1251	293
162	1257	285
163	1263	277
164	1270	269
165	1276	261
166	1282	253
167	1288	245
168	1295	237
169	1301	229
170	1307	221
171	1313	213
172	1319	205
173	1327	198
174	1342	191
175	1351	184
176	1358	176
177	1364	168
178	1371	160
179	1381	153
180	1387	145
181	1398	138
182	1410	131
183	1417	123
184	1424	115
185	1431	107
186	1441	100
187	1447	92
188	1455	84
189	1461	76
190	1468	69
191	1475	61
192	1479	53
193	1485	45
194	1491	38
195	1496	30
196	1500	22
197	1505	15
198	1510	7
199	1516	0
