Target,Modelo,MAE,MSE,RMSE,R²,MedAE,MaxErr,MAPE %,EVS,Train_MAE,Gap_%,Best_Params,Overfitting
Volumen Tumoral,Polinomica,5320.17,176400078.19,13281.57,0.7871,2339.83,156202.61,64.38,0.7878,2424.88,56.95,"alpha=10.0, degree=2",OVERFITTING
Volumen Tumoral,Random Forest,6252.58,186796326.8,13667.35,0.7745,3002.46,122692.63,69.53,0.7746,5377.85,14.84,"max_depth=3, min_samples_leaf=8, n_estimators=100",OK
Volumen Tumoral,XGBoost,7091.35,179278438.96,13389.49,0.7836,3475.41,105555.61,82.17,0.7836,6040.82,17.01,"learning_rate=0.3, max_depth=1, min_child_weight=10, n_estimators=50, reg_alpha=5, reg_lambda=10",OVERFITTING
Volumen Tumoral,Arbol Decision,7521.91,195292419.95,13974.71,0.7643,3662.28,106215.13,79.53,0.7643,7166.07,10.76,"max_depth=3, min_samples_leaf=16",OK
Volumen Tumoral,Ridge,7602.43,170167737.26,13044.84,0.7946,4740.76,140000.96,128.0,0.7946,7135.86,7.57,alpha=10.0,OK
Volumen Tumoral,ElasticNet,7676.19,174463157.39,13208.45,0.7894,4746.49,138407.03,130.28,0.7894,7218.24,7.14,"alpha=0.1, l1_ratio=0.5",OK
Volumen Tumoral,Lasso,7806.52,170610196.5,13061.78,0.7941,4959.65,135398.19,143.04,0.7941,7092.66,10.94,alpha=10.0,OK
Volumen Tumoral,Gradient Boost,7928.23,215677114.04,14685.95,0.7397,4204.49,113542.47,98.92,0.7397,7307.84,10.17,"learning_rate=0.3, max_depth=1, min_samples_leaf=16, min_samples_split=15, n_estimators=15",OK
Volumen Tumoral,Reg. Multiple,8190.28,181239334.46,13462.52,0.7812,5281.45,134500.86,157.06,0.7812,7133.19,14.5,,OK
Volumen Tumoral,Reg. Simple,9044.75,318538655.06,17847.65,0.6155,4646.3,175612.3,104.28,0.6155,8941.99,1.24,,OK
Volumen Tumoral,KNN,9171.95,303398493.34,17418.34,0.6338,4847.14,138589.02,102.65,0.6409,0.0,100.0,"n_neighbors=15, p=2, weights=distance",OVERFITTING
